market_code,product_name,product_code,weight
NASD,애플,AAPL,50237.39
NASD,마이크로소프트,MSFT,43004.50
NASD,아마존 닷컴,AMZN,38917.92
NASD,메타 플랫폼스,FB,24096.60
NASD,테슬라,TSLA,22223.83
NASD,알파벳 C,GOOG,21603.63
NASD,알파벳,GOOGL,18555.28
NYSE,유나이티드헬스 그룹,UNH,13504.29
AMEX,SPDR S&P 500 Trust ETF,SPY,11371.73
NASD,엔비디아,NVDA,10326.67
NASD,넷플릭스,NFLX,9395.97
NASD,어도비 시스템즈,ADBE,9209.25
NASD,페이팔 홀딩스,PYPL,9049.44
AMEX,Vanguard S&P 500 ETF,VOO,8983.33
AMEX,ISHARES CORE S+P 500 ETF,IVV,8699.71
NASD,일루미나,ILMN,8632.77
NYSE,홈디포,HD,8333.79
NYSE,프록터 앤드 갬블(피앤지),PG,8333.67
NASD,컴캐스트,CMCSA,8282.69
NASD,Pinduoduo Inc.,PDD,8087.35
NYSE,오라클,ORCL,7812.64
NYSE,월트 디즈니,DIS,7383.73
NYSE,세일즈포스닷컴,CRM,7211.86
NASD,마이크론 테크놀로지,MU,7198.99
NASD,텍사스 인스트루먼트,TXN,6984.36
NYSE,나이키,NKE,6672.01
NYSE,버라이존 커뮤니케이션스,VZ,6415.29
